,page,country,rev_id
1,Bir I of Kanem,Chad,355319463
10,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188
12,Yos Por,Cambodia,393822005
23,Julius Gregr,Czech Republic,395521877
24,Edvard Gregr,Czech Republic,395526568
25,Robert Douglas Cook,Canada,401577829
44,List of Grand Viziers of Egypt,Egypt,442937236
105,Sehba Musharraf,Pakistan,448555418
111,Butler-Belmont family,United States,470173494
114,List of Canadian incumbents by year,Canada,477962574
117,Sheikh Sadiq Ali Ansari,India,492060822
118,Cayetano Pacana,Philippines,492964343
122,Abdullah II of Kanem,Chad,498683267
123,Heard-Hawes family,United States,502721672
126,List of politicians in Poland,Poland,516633096
128,List of German politicians,Germany,521986779
145,Raspicious Dzanjalimodzi,Malawi,532253442
205,Manuel Antonio Blas Sáenz,Nicaragua,543225630
210,Béla Vörösmarty,Hungary,545936100
211,Presidents of the General Council of French Guiana,French Guiana,546364151
219,Finn Sjue,Norway,549300521
222,Tingtingru,Vanuatu,550682925
223,Russell family (American political family),United States,550953646
229,Maximo Suniel,Philippines,559553872
230,Mihály Mikes (soldier),Hungary,559788982
238,The Man with the Chocolate Robe,Iran,560758943
245,List of Malta Labour Party leaders,Malta,561744402
259,Marquis of Amboage,Spain,564873005
260,Salmama II of Kanem,Chad,565745353
261,Kuri I of Kanem,Chad,565745365
262,Mohammed I of Kanem,Chad,565745375
265,Timoteo Menéndez,Salvadoran,566504165
271,"List of members of the parliament of Malta, 2008–13",Malta,573710096
272,Gervas Clay,Rhodesian,574571582
273,Samuel Nii Ayi Mankattah,Ghana,576988466
286,Hemed Khamis,Tanzania,585894477
290,Mavua Mudima,"Congo, Dem. Rep. of",592289232
294,Council of Ministers of Togo,Togo,595693452
295,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202
296,Abdullah Al Nuaimi (politician),United Arab Emirates,598819900
297,Zhang Zhenzhou,China,601122766
298,Feng Liao,China,601127343
308,Wu Shihuo,China,614786300
321,Kennedy Kiliku,Kenya,623004627
322,Kamu de Almeida,Angola,623334577
324,Hiša Marije Pomočnice,Slovenia,624468970
325,Đuro Šurmin,Croatia,625509885
326,Suishō,Japan,626606789
327,Nikolai Sulima,Russia,627001041
328,Khayelihle Mathaba,South Africa,627051151
329,Vilho Turunen,Finland,627432937
330,Daud Arsala,Afghanistan,627547024
331,Vihtori Aromaa,Finland,628261896
332,Jonathan Wartiovaara,Finland,628268705
333,Arvi Turkka,Finland,628270736
334,Juho Heikkinen,Finland,628312759
335,Emanuel Aromaa,Finland,628379479
336,Jukka Lankila,Finland,628563978
337,Jalmari Malmi,Finland,628619000
338,Viljo Pousi,Finland,628766656
339,Jooseppi Kauranen,Finland,628988952
340,Sardar Aurang Zeb Khan,Pakistan,629562076
341,Jeremiah Kasambala,Tanzania,629818376
342,Sofia Hjulgrén,Finland,630396351
343,Vihtori Viitanen,Finland,630396786
344,Tirso Neri,Philippines,630704768
346,Cleisthenes (son of Sibyrtius),Greece,631437331
347,Demonax (lawmaker),Greece,631581752
348,List of 2009 Canadian incumbents,Canada,632008524
349,"Zero, None Of The Above",United Kingdom,632261377
350,Johan Franzén (politician),Finland,632447328
352,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729
354,Liu Hongchang,China,634032715
357,Custos Rotulorum of County Wicklow,Ireland,635240253
358,Custos Rotulorum of County Cork,Ireland,635814126
359,Book:Two Political Biographies,India,636911471
361,Hegesippus (orator),Greece,637801253
363,Pheroze Sethna,India,638214719
364,Ibrahim Kassas,Tunisia,638362866
365,Dilip Sarkar,India,638377138
366,"List of members of the parliament of East Timor, 2001–07",East Timorese,638566016
367,Gatluak Deng Garang,South Sudan,638571205
368,List of members of the National Assembly of Botswana 2009–14,Botswana,638599355
369,Aliyu Ibrahim Gebi,Nigeria,639021339
370,Wang Jichang,China,639061161
371,Waldemir Moka,Brazil,639471171
372,Custos Rotulorum of County Waterford,Ireland,640014648
373,Lee Ja-kyum,"Korea, South",640214913
374,Wei Huan-zi,China,640826254
375,O'Higgins Pioche,Chile,641422326
381,"List of Captains Regent of San Marino, 1500–1700",San Marino,643410335
383,Eiler Grubbe,Denmark,643746000
384,"List of members of the Løgting, 1974–78",Faroese,643932216
385,"List of members of the Løgting, 1978–80",Faroese,643932220
386,"List of members of the Løgting, 1980–84",Faroese,643932225
387,"List of members of the Løgting, 1984–88",Faroese,643932226
388,"List of members of the Løgting, 1990–94",Faroese,643932239
389,"List of members of the Løgting, 1994–98",Faroese,643932242
390,Olli Zitting,Finland,644024203
391,Pierre Philibert de Blancheton,France,644041882
392,Luiza Xhuvani,Albania,644399375
393,Diego de Villalba y Toledo,Spain,645225697
394,Jabulani Dube,Zimbabwe,645408814
398,James Bisset (mayor),Cape Colony,647367482
399,Ministry of Economy and Finance (Benin),Benin,647450883
400,Gheorghe Barbu,Romania,647483021
403,Pan Yunduan,China,647832959
404,Otto Elfving,Finland,647893858
406,List of Sri Lankan politicians,Sri Lanka,648048611
407,Fathema Ismail,India,648271473
410,Rafael Simancas,Spain,650458255
411,Adela Serra-Ty,Philippines,650462344
414,Muhammad al-Ghafri,Syria,650494773
415,Augustus Joseph Tancred,Cape Colony,651250302
417,Eneida de León,Uruguay,651785828
418,Read family of Delaware,United States,651856758
420,Johan Conrad Silberbauer,Cape Colony,653467222
421,Rossy Barbour,Canada,653527941
422,Reginald Nii Bi Ayibonte,Ghana,653895210
423,Franz Schimmelpfennig von der Ove,Poland,654012510
424,Ville Korhonen (politician),Finland,655031906
425,Onni Hallsten,Finland,655032578
426,Yosia Nadiope of Busoga,Uganda,655390291
427,María del Socorro Bustamante,Colombia,655980284
428,Enrique Pintado,Uruguay,656352211
429,Instructions of the Year XIII,Uruguay,656386131
430,Governor of Gagauzia,Moldova,656737492
431,Neferkheperu-her-sekheper,Egypt,657176628
432,Abeifaa Karbo,Ghana,658939122
433,Auguste Louis Antoine Fabre,France,659315526
434,Maksud Ibragimov,Tajikistan,660214915
436,Miguel R. Morales,Nicaragua,660579437
437,Aljoša Čampara,Bosnia-Herzegovina,660884852
439,Walter Simon (philanthropist),Germany,662681733
440,Abu Sayyaf (Jordan),Jordan,662927043
441,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604
442,Torsten Nielsen,Denmark,663166199
443,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266
444,Mufti Abdullah,Pakistan,663572469
445,William Matthew Harries,South Africa,663617582
446,Maanu Paul,New Zealand,663783398
447,County governor (Lithuania),Lithuania,663880497
449,Burhan Muhammad,Indonesia,664532059
450,Martim Afonso de Brito,Portugal,664669156
451,Gonghe Regency,China,664787336
452,Irshadali Sumra,Kenya,664793790
453,Koufu,China,664814622
454,Political families of Odisha,India,664822251
456,Firmin Aerts,Belgium,666029819
457,James Cotterell Hoole,Cape Colony,666596918
458,Philip Johannes Andries Watermeyer,South Africa,666610075
459,Ioan Rus,Romania,666752677
465,Pieter Adrianus Ossewaarde,Netherlands,667194771
466,Christoffel van Swoll,Netherlands,667198201
467,National Foundation for Women Legislators,United States,667815878
468,Les Scheininger,Canada,667821864
469,Patrick Canning,Canada,667873261
470,Kalina Krumova,Bulgaria,667906849
471,Pierre Chatenet,France,668091068
472,Henry Soum,Monaco,668095014
473,Brij Bhushan Mehra,India,668258382
474,Aurelian Pavelescu,Romania,668449610
480,Madut Kon Awan,South Sudan,668830946
