,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
0,Bir I of Kanem,Chad,Stub,AFRICA,"1,284",15.4
2,Yos Por,Cambodia,Stub,ASIA,"4,536",16
5,Robert Douglas Cook,Canada,Stub,NORTHERN AMERICA,365,37.2
6,List of Grand Viziers of Egypt,Egypt,Stub,AFRICA,"1,284",97
7,Sehba Musharraf,Pakistan,Stub,ASIA,"4,536",200.6
8,Butler-Belmont family,United States,Start,NORTHERN AMERICA,365,328
9,List of Canadian incumbents by year,Canada,Stub,NORTHERN AMERICA,365,37.2
10,Sheikh Sadiq Ali Ansari,India,Stub,ASIA,"4,536","1,371.3"
11,Cayetano Pacana,Philippines,Stub,ASIA,"4,536",107
12,Abdullah II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
13,Heard-Hawes family,United States,C,NORTHERN AMERICA,365,328
15,List of German politicians,Germany,Stub,EUROPE,746,82.8
16,Raspicious Dzanjalimodzi,Malawi,Stub,AFRICA,"1,284",19.1
17,Manuel Antonio Blas Sáenz,Nicaragua,Stub,LATIN AMERICA AND THE CARIBBEAN,649,6.3
18,Béla Vörösmarty,Hungary,Stub,EUROPE,746,9.8
20,Finn Sjue,Norway,Stub,EUROPE,746,5.3
22,Russell family (American political family),United States,Stub,NORTHERN AMERICA,365,328
23,Maximo Suniel,Philippines,Stub,ASIA,"4,536",107
24,Mihály Mikes (soldier),Hungary,Stub,EUROPE,746,9.8
25,The Man with the Chocolate Robe,Iran,Stub,ASIA,"4,536",81.6
26,List of Malta Labour Party leaders,Malta,Stub,EUROPE,746,0.5
27,Marquis of Amboage,Spain,Stub,EUROPE,746,46.7
28,Salmama II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
29,Kuri I of Kanem,Chad,Stub,AFRICA,"1,284",15.4
30,Mohammed I of Kanem,Chad,Stub,AFRICA,"1,284",15.4
32,"List of members of the parliament of Malta, 2008–13",Malta,B,EUROPE,746,0.5
34,Samuel Nii Ayi Mankattah,Ghana,Stub,AFRICA,"1,284",29.5
35,Hemed Khamis,Tanzania,Stub,AFRICA,"1,284",59.1
37,Council of Ministers of Togo,Togo,Start,AFRICA,"1,284",8
39,Abdullah Al Nuaimi (politician),United Arab Emirates,Start,ASIA,"4,536",9.5
40,Zhang Zhenzhou,China,Stub,ASIA,"4,536","1,393.8"
41,Feng Liao,China,Start,ASIA,"4,536","1,393.8"
42,Wu Shihuo,China,Start,ASIA,"4,536","1,393.8"
43,Kennedy Kiliku,Kenya,Stub,AFRICA,"1,284",51
44,Kamu de Almeida,Angola,Stub,AFRICA,"1,284",30.4
45,Hiša Marije Pomočnice,Slovenia,Stub,EUROPE,746,2.1
46,Đuro Šurmin,Croatia,Start,EUROPE,746,4.1
47,Suishō,Japan,Stub,ASIA,"4,536",126.5
48,Nikolai Sulima,Russia,Stub,EUROPE,746,147.3
49,Khayelihle Mathaba,South Africa,Stub,AFRICA,"1,284",57.7
50,Vilho Turunen,Finland,Stub,EUROPE,746,5.5
52,Vihtori Aromaa,Finland,Stub,EUROPE,746,5.5
53,Jonathan Wartiovaara,Finland,Stub,EUROPE,746,5.5
54,Arvi Turkka,Finland,Stub,EUROPE,746,5.5
55,Juho Heikkinen,Finland,Stub,EUROPE,746,5.5
56,Emanuel Aromaa,Finland,Stub,EUROPE,746,5.5
57,Jukka Lankila,Finland,Stub,EUROPE,746,5.5
58,Jalmari Malmi,Finland,Stub,EUROPE,746,5.5
59,Viljo Pousi,Finland,Stub,EUROPE,746,5.5
60,Jooseppi Kauranen,Finland,Stub,EUROPE,746,5.5
61,Sardar Aurang Zeb Khan,Pakistan,Stub,ASIA,"4,536",200.6
62,Jeremiah Kasambala,Tanzania,Stub,AFRICA,"1,284",59.1
63,Sofia Hjulgrén,Finland,Stub,EUROPE,746,5.5
64,Vihtori Viitanen,Finland,Stub,EUROPE,746,5.5
65,Tirso Neri,Philippines,Stub,ASIA,"4,536",107
66,Cleisthenes (son of Sibyrtius),Greece,Stub,EUROPE,746,10.6
67,Demonax (lawmaker),Greece,Start,EUROPE,746,10.6
68,List of 2009 Canadian incumbents,Canada,Start,NORTHERN AMERICA,365,37.2
69,"Zero, None Of The Above",United Kingdom,Stub,EUROPE,746,66.4
70,Johan Franzén (politician),Finland,Stub,EUROPE,746,5.5
72,Liu Hongchang,China,B,ASIA,"4,536","1,393.8"
73,Custos Rotulorum of County Wicklow,Ireland,Stub,EUROPE,746,4.9
74,Custos Rotulorum of County Cork,Ireland,Stub,EUROPE,746,4.9
75,Book:Two Political Biographies,India,Stub,ASIA,"4,536","1,371.3"
76,Hegesippus (orator),Greece,Stub,EUROPE,746,10.6
77,Pheroze Sethna,India,Stub,ASIA,"4,536","1,371.3"
78,Ibrahim Kassas,Tunisia,Stub,AFRICA,"1,284",11.6
79,Dilip Sarkar,India,Stub,ASIA,"4,536","1,371.3"
81,Gatluak Deng Garang,South Sudan,Stub,AFRICA,"1,284",13
82,List of members of the National Assembly of Botswana 2009–14,Botswana,Start,AFRICA,"1,284",2.2
83,Aliyu Ibrahim Gebi,Nigeria,Stub,AFRICA,"1,284",195.9
84,Wang Jichang,China,Start,ASIA,"4,536","1,393.8"
85,Waldemir Moka,Brazil,Stub,LATIN AMERICA AND THE CARIBBEAN,649,209.4
86,Custos Rotulorum of County Waterford,Ireland,Stub,EUROPE,746,4.9
87,Lee Ja-kyum,"Korea, South",Stub,ASIA,"4,536",51.8
88,Wei Huan-zi,China,Stub,ASIA,"4,536","1,393.8"
89,O'Higgins Pioche,Chile,Stub,LATIN AMERICA AND THE CARIBBEAN,649,18.6
90,"List of Captains Regent of San Marino, 1500–1700",San Marino,Start,EUROPE,746,0.03
91,Eiler Grubbe,Denmark,Stub,EUROPE,746,5.8
98,Olli Zitting,Finland,Stub,EUROPE,746,5.5
99,Pierre Philibert de Blancheton,France,Stub,EUROPE,746,65.1
100,Luiza Xhuvani,Albania,Stub,EUROPE,746,2.9
101,Diego de Villalba y Toledo,Spain,Start,EUROPE,746,46.7
102,Jabulani Dube,Zimbabwe,Stub,AFRICA,"1,284",14
104,Ministry of Economy and Finance (Benin),Benin,Stub,AFRICA,"1,284",11.5
105,Gheorghe Barbu,Romania,Stub,EUROPE,746,19.5
106,Pan Yunduan,China,Stub,ASIA,"4,536","1,393.8"
107,Otto Elfving,Finland,Stub,EUROPE,746,5.5
108,List of Sri Lankan politicians,Sri Lanka,Stub,ASIA,"4,536",21.7
109,Fathema Ismail,India,Stub,ASIA,"4,536","1,371.3"
110,Rafael Simancas,Spain,Stub,EUROPE,746,46.7
111,Adela Serra-Ty,Philippines,Stub,ASIA,"4,536",107
112,Muhammad al-Ghafri,Syria,Stub,ASIA,"4,536",18.3
114,Eneida de León,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
115,Read family of Delaware,United States,Start,NORTHERN AMERICA,365,328
117,Rossy Barbour,Canada,Stub,NORTHERN AMERICA,365,37.2
118,Reginald Nii Bi Ayibonte,Ghana,Stub,AFRICA,"1,284",29.5
119,Franz Schimmelpfennig von der Ove,Poland,Stub,EUROPE,746,38.4
120,Ville Korhonen (politician),Finland,Stub,EUROPE,746,5.5
121,Onni Hallsten,Finland,Stub,EUROPE,746,5.5
122,Yosia Nadiope of Busoga,Uganda,Stub,AFRICA,"1,284",44.1
123,María del Socorro Bustamante,Colombia,Stub,LATIN AMERICA AND THE CARIBBEAN,649,49.8
124,Enrique Pintado,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
125,Instructions of the Year XIII,Uruguay,Stub,LATIN AMERICA AND THE CARIBBEAN,649,3.5
126,Governor of Gagauzia,Moldova,Stub,EUROPE,746,3.5
127,Neferkheperu-her-sekheper,Egypt,Start,AFRICA,"1,284",97
128,Abeifaa Karbo,Ghana,Stub,AFRICA,"1,284",29.5
129,Auguste Louis Antoine Fabre,France,Stub,EUROPE,746,65.1
130,Maksud Ibragimov,Tajikistan,Start,ASIA,"4,536",9.1
131,Miguel R. Morales,Nicaragua,Stub,LATIN AMERICA AND THE CARIBBEAN,649,6.3
132,Aljoša Čampara,Bosnia-Herzegovina,Start,EUROPE,746,3.5
133,Walter Simon (philanthropist),Germany,Start,EUROPE,746,82.8
134,Abu Sayyaf (Jordan),Jordan,Start,ASIA,"4,536",10.2
136,Torsten Nielsen,Denmark,Stub,EUROPE,746,5.8
138,Mufti Abdullah,Pakistan,Stub,ASIA,"4,536",200.6
139,William Matthew Harries,South Africa,Stub,AFRICA,"1,284",57.7
140,Maanu Paul,New Zealand,Stub,OCEANIA,41,4.9
141,County governor (Lithuania),Lithuania,Stub,EUROPE,746,2.8
142,Burhan Muhammad,Indonesia,Stub,ASIA,"4,536",265.2
143,Martim Afonso de Brito,Portugal,Stub,EUROPE,746,10.3
144,Gonghe Regency,China,Stub,ASIA,"4,536","1,393.8"
145,Irshadali Sumra,Kenya,Stub,AFRICA,"1,284",51
146,Koufu,China,Stub,ASIA,"4,536","1,393.8"
147,Political families of Odisha,India,Stub,ASIA,"4,536","1,371.3"
148,Firmin Aerts,Belgium,Stub,EUROPE,746,11.4
150,Philip Johannes Andries Watermeyer,South Africa,Start,AFRICA,"1,284",57.7
151,Ioan Rus,Romania,Stub,EUROPE,746,19.5
152,Pieter Adrianus Ossewaarde,Netherlands,Stub,EUROPE,746,17.2
153,Christoffel van Swoll,Netherlands,Start,EUROPE,746,17.2
154,National Foundation for Women Legislators,United States,Start,NORTHERN AMERICA,365,328
155,Les Scheininger,Canada,C,NORTHERN AMERICA,365,37.2
156,Patrick Canning,Canada,Start,NORTHERN AMERICA,365,37.2
157,Kalina Krumova,Bulgaria,Start,EUROPE,746,7
158,Pierre Chatenet,France,Stub,EUROPE,746,65.1
159,Henry Soum,Monaco,Stub,EUROPE,746,0.04
160,Brij Bhushan Mehra,India,Stub,ASIA,"4,536","1,371.3"
161,Aurelian Pavelescu,Romania,Stub,EUROPE,746,19.5
162,Madut Kon Awan,South Sudan,Stub,AFRICA,"1,284",13
163,Taieb Ghafes,Morocco,Stub,AFRICA,"1,284",35.2
164,Teodor Andrault de Langeron,Poland,Stub,EUROPE,746,38.4
166,Ghassan Ashqar,Lebanon,Stub,ASIA,"4,536",6.1
167,Magnús Orri Schram,Iceland,Stub,EUROPE,746,0.4
168,Wusu Sannoh,Sierra Leone,Stub,AFRICA,"1,284",7.7
169,Kuri II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
170,Laroussi Mizouri,Tunisia,Stub,AFRICA,"1,284",11.6
171,Hashid Abdullah al-Ahmar,Yemen,Stub,ASIA,"4,536",28.9
172,Erkin Alymbekov,Kyrgyzstan,Stub,ASIA,"4,536",6.1
173,Angelo Staniscia,Italy,Stub,EUROPE,746,60.6
174,Malik Adnan Hayat Noon,Pakistan,Stub,ASIA,"4,536",200.6
175,Samou Seidou Adambi,Benin,Stub,AFRICA,"1,284",11.5
176,Porfirio Smerdou,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
177,Lise Nordin,Sweden,Stub,EUROPE,746,10.2
178,Fletcher Dulini,Zimbabwe,Stub,AFRICA,"1,284",14
179,Krzysztof Abrahamowicz,Poland,Stub,EUROPE,746,38.4
180,Dilaver Bey,Turkey,Stub,ASIA,"4,536",81.3
181,Horace Mann Thu-Jaune,Madagascar,Stub,AFRICA,"1,284",26.3
183,Murad Quenili,Afghanistan,Stub,ASIA,"4,536",36.5
184,Bir II of Kanem,Chad,Stub,AFRICA,"1,284",15.4
